,TYPE,NEIGHBORHOOD,AMOUNT
0,Community Center,East Boston,3
1,Community Center,Charlestown,3
2,Community Center,Boston,4
3,Community Center,South Boston,3
4,Community Center,Roxbury,6
5,Community Center,Jamaica Plain,2
6,Community Center,Dorchester,4
7,Community Center,Mattapan,3
8,Community Center,Hyde Park,1
9,Community Center,Roslindale,3
10,Community Center,West Roxbury,3
11,Community Center,Allston,1
12,Community Center,South End,0
13,Community Center,Brighton,0
14,Community Center,Chinatown,0
15,Community Center,Mission Hill,0
