,TYPE,NEIGHBORHOOD,AMOUNT
0,Community Center,East Boston,3
1,Community Center,Charlestown,3
2,Community Center,North End,2
3,Community Center,South End,2
4,Community Center,South Boston,3
5,Community Center,Roxbury,6
6,Community Center,Jamaica Plain,2
7,Community Center,Dorchester,4
8,Community Center,Mattapan,3
9,Community Center,Hyde Park,1
10,Community Center,Roslindale,3
11,Community Center,West Roxbury,3
12,Community Center,Allston,1
13,Community Center,Longwood,0
14,Community Center,Beacon Hill,0
15,Community Center,Brighton,0
16,Community Center,Back Bay,0
17,Community Center,Mission Hill,0
18,Community Center,Fenway,0
19,Community Center,Chinatown,0
